Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Diana,8.35,0.71,120.6,152.942317,333.345972,8.680813,0.20371743,2.62371151
Eurynome,7.97,0.88,66.5,201.565849,206.521464,4.613973,0.19074683,2.44438213
Sappho,8.14,0.90,78.4,139.547528,218.648558,8.676693,0.20002536,2.295913
Terpsichore,8.73,0.71,119.1,51.53841,0.94848,7.805357,0.21177323,2.85136529
Alkmene,8.30,0.81,61.0,110.945697,25.435603,2.826238,0.2205307,2.76287259
Beatrix,8.79,0.70,81.4,169.957939,27.668831,4.967393,0.08235618,2.4315764
Klio,9.38,0.73,79.2,15.04771,327.51497,9.316301,0.23612322,2.36205866
Io,7.83,0.66,154.8,122.900656,203.051562,11.961321,0.19382489,2.6532333
Semele,8.77,0.71,120.6,308.955487,86.068598,4.821766,0.21624038,3.10451495
Sylvia,6.98,0.70,260.9,264.288214,73.010411,10.879852,0.09396736,3.47769995
Thisbe,7.30,0.66,200.6,36.67586,276.431731,5.213881,0.16171487,2.76831505
Julia,6.78,0.88,151.5,45.094879,311.546064,16.125929,0.18447569,2.55033437
Antiope,8.49,0.69,120.1,245.25204,69.93771,2.206966,0.16780716,3.15041725
Aegina,8.94,0.73,109.8,74.363865,10.436618,2.103126,0.10712099,2.58987298
Undina,6.82,0.73,126.4,237.341527,101.406375,9.919939,0.1054343,3.18684536
Minerva,7.96,0.73,141.0,275.37994,4.025841,8.557737,0.13931351,2.75662184
Aurora,7.73,0.66,204.9,60.201414,2.550894,7.970906,0.09526501,3.15603879
Arethusa,8.04,0.71,136.0,153.341435,242.969202,12.996459,0.15366953,3.06686737
Aegle,7.71,0.77,169.9,208.09407,321.492929,15.979825,0.14161564,3.05060649
Klotho,7.85,0.70,82.8,268.542024,159.620036,11.77964,0.25795551,2.66732283
Ianthe,8.95,0.75,104.5,158.401131,353.896723,15.576107,0.18746445,2.68723775
Dike,9.51,0.70,71.9,195.570007,41.407344,13.864823,0.19720546,2.66263039
Hekate,7.70,0.83,88.7,183.781253,127.171317,6.432942,0.16872125,3.08734754
Helena,8.25,0.87,65.8,347.943397,343.371214,10.194964,0.14114329,2.58252253
Miriam,9.39,0.72,83.0,147.234288,210.765734,5.173856,0.25100288,2.66331306
Hera,7.72,0.86,91.2,189.343105,136.068791,5.418569,0.07916964,2.70176141
Klymene,8.50,0.68,123.7,31.65429,41.65956,2.789894,0.16178556,3.14573297
Artemis,8.73,0.70,119.1,57.118338,188.222539,21.455998,0.17870444,2.37249313
Dione,7.64,0.74,146.6,331.502787,61.991677,4.575727,0.159383,3.18123913
Camilla,7.14,0.70,222.6,305.338786,172.586768,10.004433,0.06523997,3.48625074
Hecuba,8.01,0.86,65.0,211.867565,349.8115,4.211146,0.06154503,3.23709176
Felicitas,9.04,0.73,89.4,57.585264,2.759027,7.845605,0.30001888,2.6939241
Lydia,7.90,0.71,86.1,282.184649,56.774049,5.959819,0.07992387,2.73248977
Ate,8.23,0.70,134.6,168.223224,305.686495,4.931418,0.1028181,2.59357091
Iphigenia,9.82,0.70,72.2,16.998479,323.371279,2.597566,0.12855912,2.43318832
Amalthea,8.61,0.94,46.1,79.09927,123.429542,5.04121,0.08576383,2.37739836
Kassandra,8.35,0.76,99.6,352.657062,164.066603,4.944646,0.13828465,2.67666861
Thyra,7.72,0.86,79.8,96.801059,308.77467,11.58787,0.19268483,2.37937445
Sirona,7.88,0.87,71.7,94.234908,63.697645,3.563984,0.14115238,2.76619147
Lomia,8.09,0.68,148.7,51.570776,348.633508,14.927236,0.02349838,2.98946679
