Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Myrrha,8.46,0.67,120.6,144.187744,125.069656,12.55889,0.08965716,3.22203752
Dodona,8.85,0.69,58.4,270.430899,313.466005,7.391265,0.17061747,3.12051607
Janina,9.97,0.67,45.5,324.614493,92.766788,2.65925,0.16837557,3.13996047
Burdigala,9.44,0.85,36.9,34.899606,47.672243,5.59063,0.14538057,2.65207765
Ilmatar,7.61,0.90,91.5,189.171638,344.85444,13.582767,0.12617734,2.84648071
Siegena,7.73,0.74,165.0,220.860014,166.636109,20.21792,0.16917836,2.89893355
Aquitania,7.57,0.88,100.5,157.539802,128.209154,18.112237,0.23517756,2.74125672
Charybdis,8.71,0.72,114.2,329.432572,354.188265,6.450714,0.06568191,3.00269053
Industria,7.93,0.86,79.0,266.311308,282.144589,8.112616,0.0656807,2.61093664
Alma,10.12,0.79,23.7,192.05912,305.105058,12.140749,0.13134562,2.65065345
Lampetia,8.43,0.74,96.9,90.86361,212.393111,14.877277,0.3300186,2.7798749
Arduina,9.79,0.83,31.3,271.280689,66.863381,6.220699,0.22813791,2.76379015
Delia,10.50,0.73,51.0,11.284204,259.250233,3.354297,0.08420327,2.78425856
Vienna,9.42,0.81,43.3,139.950267,227.881776,12.870092,0.24820883,2.63404675
Chloe,9.06,0.80,54.2,17.155677,129.332248,11.833091,0.11233001,2.55812558
Cyane,8.98,0.90,49.0,254.267743,244.342471,9.159422,0.09815081,2.80876092
Arsinoe,9.16,0.66,97.7,120.654284,92.474759,14.098082,0.20113457,2.59161181
Thia,8.65,0.69,124.9,308.645645,255.197646,11.936804,0.24341371,2.58524482
Erna,10.38,0.73,49.2,37.764353,315.469149,4.191287,0.17819619,2.91863907
Arachne,9.13,0.70,95.1,81.86361,294.540179,7.516988,0.0710418,2.62616462
Aspasia,7.70,0.72,161.6,354.204413,242.104318,11.267524,0.07188653,2.57684899
Chloris,8.37,0.75,123.5,172.78334,96.924306,10.962448,0.2410702,2.725122
Edburga,10.00,0.68,31.9,252.956159,103.682503,18.726,0.34175586,2.58450557
Liriope,9.62,0.75,69.9,318.360332,110.545415,9.557362,0.07372045,3.50546179
Palatia,9.39,0.71,76.3,299.104785,126.324259,8.217889,0.30029306,2.7924614
Vaticana,7.82,0.88,85.5,198.374183,58.057731,12.860138,0.21750454,2.79166963
Suevia,9.61,0.76,40.7,348.4556,199.48601,6.647869,0.13541596,2.79937022
Alemannia,9.81,0.69,34.1,125.905611,248.728472,6.81573,0.11894195,2.5923613
Aurelia,8.62,0.64,129.0,44.445662,229.030744,3.931196,0.25194489,2.59514117
Bertholda,8.38,0.69,141.2,232.775805,242.528772,6.687242,0.02740166,3.42037384
Diotima,7.36,0.67,208.8,199.551716,69.350684,11.241521,0.0347695,3.06867301
Hippo,8.62,0.71,127.1,221.638067,311.323837,19.496394,0.10596492,2.88881735
Lotis,10.01,0.74,69.6,169.237641,219.923537,9.544648,0.12391353,2.6061692
Nephele,9.02,0.64,95.0,217.369067,117.182643,1.827898,0.17062608,3.13844119
Pythia,8.92,0.87,46.9,173.797646,88.732192,12.11722,0.14590346,2.36940751
Ella,10.41,0.70,41.5,333.372267,23.140328,1.8164,0.15489198,2.45017836
Zeuxo,10.03,0.61,61.2,210.250438,49.086896,7.367358,0.06790486,2.55456707
Ohio,9.88,0.72,76.6,244.623268,201.437043,19.130516,0.06667903,3.13380737
Bathilde,8.64,0.69,70.3,202.856589,253.499796,8.158479,0.08149753,2.80636727
Eichsfeldia,10.00,0.69,65.7,84.960223,134.883005,6.068573,0.07007683,2.34603453
Photographica,10.16,0.90,26.7,349.110361,175.403977,4.235633,0.03978059,2.2164108
Gyptis,8.07,0.68,159.6,154.6934,195.604497,10.273963,0.17408758,2.77140346
Edna,9.27,0.68,87.2,81.779834,291.977126,21.308748,0.19782077,3.19658801
Aeternitas,8.77,1.03,45.4,279.152005,42.01992,10.61588,0.12523225,2.7884444
Valentine,9.12,0.78,79.5,320.352542,71.794482,4.793979,0.04561912,2.98673478
Natalie,10.25,0.66,47.8,293.341949,37.182723,12.732328,0.18770878,3.1318103
Hamburga,9.81,0.70,85.6,48.731949,85.770496,3.079163,0.17299487,2.55049217
Brigitta,10.23,0.78,33.3,359.275809,14.352201,10.132927,0.09776703,3.01799872
Patientia,6.85,0.65,225.0,336.554619,89.002735,15.205797,0.07029499,3.06250584
Mathesis,9.33,0.66,81.6,177.293241,32.169385,6.29279,0.11147342,2.62712718
Bruchsalia,8.98,0.70,84.4,273.439912,76.071874,12.017705,0.29518391,2.65513516
Hercynia,9.69,0.88,38.8,277.181217,134.11898,12.654099,0.24289797,2.99274265
Signe,10.44,0.87,29.3,19.485188,29.468361,10.302193,0.21150883,2.61894732
Saskia,10.53,0.61,45.7,308.611316,156.520759,1.471898,0.14525981,3.11700898
Eriphyla,9.38,0.84,35.6,249.418444,105.209733,3.19075,0.08775242,2.87203847
Lola,11.82,0.71,20.0,329.653061,36.491997,13.541627,0.22009312,2.39847331
Megaira,9.80,0.64,74.0,257.921175,102.341122,10.163398,0.20471624,2.80157204
Tisiphone,8.49,0.66,115.5,254.431574,290.321666,18.986264,0.0958847,3.35824725
Lina,9.77,0.67,69.3,332.262762,21.497701,0.436325,0.19599132,3.13302002
Argentina,8.72,0.65,125.6,213.800863,333.071655,11.472676,0.15982213,3.19114462
Kilia,10.09,0.89,26.4,47.717823,173.199218,7.233724,0.09570149,2.40379927
Papagena,6.72,0.83,134.2,315.696916,83.779844,15.014773,0.2289441,2.89044619
Roma,8.95,0.88,47.3,296.490463,127.052249,15.810648,0.09542489,2.5427969
Ocllo,11.61,0.70,31.0,305.979849,34.399341,18.953084,0.3795199,2.59410469
Hedwig,8.65,0.71,116.8,1.292773,286.215986,10.9188,0.07419143,2.65099628
Italia,10.31,0.89,22.5,322.492348,10.642246,5.289545,0.1879826,2.41509865
Tergeste,7.98,0.86,79.5,243.333634,233.44497,13.176643,0.0803955,3.01666531
Hansa,8.28,0.87,56.2,212.343898,237.132882,21.309052,0.04583678,2.64529895
Emita,8.85,0.70,116.0,349.223507,66.714132,9.845092,0.15807162,2.74027265
Petrina,8.95,0.87,46.6,87.8431,179.370605,14.47364,0.09646288,2.99810607
Seppina,8.37,0.86,69.6,163.320163,173.91089,18.75318,0.05092958,3.42683955
Venetia,8.34,0.85,63.1,281.394993,114.767591,10.251235,0.08619568,2.67067721
Kreusa,7.92,0.70,150.1,76.33729,83.027667,11.460342,0.15818178,3.17282194
Comacina,8.50,0.69,139.4,8.699852,166.699141,12.993076,0.0481707,3.15233171
Veritas,8.59,0.75,115.5,193.410706,178.037477,9.294051,0.08948298,3.17215271
Virtus,9.14,0.73,85.5,215.387719,38.073052,7.078714,0.06435704,2.98498704
Gryphia,11.80,0.86,15.5,258.344079,207.559068,3.792848,0.07912407,2.19965969
Iva,9.92,0.70,45.3,3.428357,6.310028,4.821874,0.30159386,2.85097792
Tokio,8.92,0.75,82.8,241.938588,97.189973,9.496472,0.22349912,2.65139583
Venusia,9.47,0.67,81.4,174.92703,256.205264,2.09151,0.21730134,4.01302599
Sigune,10.78,0.87,16.0,18.968592,132.955857,25.02671,0.17911991,2.3828389
Evelyn,9.36,0.72,81.7,41.422853,68.832872,5.008818,0.17458145,2.72603348
Marion,8.92,0.71,105.9,145.303942,312.926148,16.990619,0.14620357,3.04264265
Princetonia,8.43,0.73,142.3,209.737625,44.190673,13.338002,0.00759438,3.16077317
Iolanda,8.46,0.82,53.0,157.270291,217.510799,15.414587,0.09692288,3.06295739
Mabella,9.80,0.73,57.4,90.921286,202.667683,9.543546,0.19153188,2.6095182
Davida,6.44,0.72,326.1,337.112215,107.58132,15.943083,0.18883029,3.16140329
Taurinensis,10.78,0.94,23.1,249.352475,107.008962,8.747124,0.25406513,2.18938669
Centesima,9.57,0.81,50.1,225.863985,184.428887,9.735181,0.08519698,3.01198521
Armida,9.22,0.65,106.2,111.556848,268.525124,3.880058,0.0373378,3.04734674
Athalia,10.89,0.88,38.2,300.263554,121.08497,2.038605,0.17665292,3.12059618
Amherstia,8.28,0.74,73.1,258.062547,328.738359,12.95301,0.27484312,2.67777912
Edith,9.60,0.71,91.1,143.674249,273.798844,3.227081,0.17965898,3.15590782
Sylvania,9.00,0.83,48.2,302.863023,44.682671,11.012192,0.1830828,2.79159774
Franziska,10.63,0.74,28.7,20.463535,34.254889,10.962672,0.11058877,3.0067783
Brixia,8.56,0.71,115.7,316.110178,89.597521,10.581756,0.27849615,2.74408912
Helga,9.08,0.67,101.2,248.994999,116.558638,4.418915,0.08663864,3.62838956
Fidelio,9.90,0.72,71.7,79.175669,326.657162,8.223084,0.12700821,2.6350414
Jena,10.19,0.64,41.5,357.425754,137.72642,2.173245,0.12826465,3.13501778
Preziosa,9.99,0.79,32.0,332.02011,64.986891,11.017901,0.09326045,3.01623103
Turandot,9.39,0.65,84.8,199.551451,129.112334,8.564564,0.21776195,3.18851188
Herculina,5.92,0.85,222.2,76.733639,107.420711,16.298613,0.17950127,2.76927485
Sara,9.76,0.87,31.1,32.138402,180.296598,6.556629,0.04415199,2.97954065
Nassovia,9.73,0.83,33.1,338.279861,94.080344,3.275404,0.05958822,2.88216352
Montague,9.44,0.74,74.5,68.038415,84.761229,6.772628,0.02565238,2.56951632
Merapi,8.18,0.69,151.4,296.039573,59.198778,19.43296,0.08754262,3.49456467
Pauly,8.85,0.82,39.1,187.673662,120.161678,9.874029,0.22923494,3.07345675
Rosamunde,10.73,0.91,19.0,337.46377,202.105585,5.583209,0.09036821,2.21850722
Susanna,9.44,0.80,41.6,216.929676,152.946968,12.077468,0.142442,2.9042158
Messalina,8.87,0.69,111.3,331.314125,333.594113,11.206405,0.16982216,3.19946707
Herodias,9.80,0.77,66.0,110.258184,21.586482,14.869478,0.11550064,2.59679063
Praxedis,9.85,0.76,69.7,196.572859,193.056852,16.863691,0.23570596,2.77404071
Jessonda,11.00,0.83,18.8,157.70161,291.32959,3.953472,0.25690149,2.68705992
Senta,9.33,0.85,37.8,45.170694,270.675742,10.10538,0.22252668,2.58914413
Ortrud,9.71,0.67,78.5,70.604868,5.706296,0.394781,0.11868783,2.96763857
Peraga,9.11,0.66,95.9,127.761077,295.372492,2.934427,0.15210559,2.37538904
Phyllis,9.57,0.83,37.8,177.70811,286.025752,5.246858,0.10456516,2.46340778
Carmen,9.09,0.73,59.3,314.159523,143.648412,8.374421,0.03843576,2.90726221
Nanon,9.61,0.74,79.8,129.577245,112.047003,9.299143,0.06513757,2.71239907
Ingwelde,11.32,0.75,24.5,318.313536,159.139541,1.549251,0.12254841,3.17006218
Salome,10.05,0.80,30.7,263.180991,70.4729,11.108642,0.10344947,3.02107477
Suleika,8.45,0.87,53.3,336.780804,85.172309,10.245156,0.23668935,2.71100984
Dudu,10.35,0.73,49.6,214.920111,70.741789,17.982313,0.27649761,2.7477654
Marbachia,10.88,0.81,27.6,292.314798,225.66237,10.993304,0.13132837,2.44291091
Stereoskopia,8.16,0.70,168.2,299.902755,79.521572,4.893833,0.12042097,3.37870268
Eleutheria,9.19,0.65,93.4,133.77839,58.244803,9.255379,0.08916541,3.13317114
Misa,10.09,0.74,73.0,142.322501,301.547985,1.287445,0.17956401,2.65988692
Kythera,8.83,0.78,102.8,161.95847,223.298156,1.816489,0.11880158,3.42197329
Dulcinea,11.72,0.87,44.5,27.478693,3.137157,5.228547,0.24303586,2.41032786
Rebekka,10.86,0.69,29.6,192.199918,194.462709,10.57673,0.15654258,2.40117499
Sidonia,7.93,0.82,85.6,228.977105,82.628445,11.015292,0.0770018,3.01403589
Olympia,9.03,0.89,43.4,310.034189,155.696347,30.012278,0.22065705,2.61319524
Klotilde,9.30,0.66,81.6,251.904206,257.843333,8.245214,0.15989861,3.17050713
Semiramis,8.55,0.89,54.0,85.295449,282.013763,10.720118,0.23367473,2.3733902
Bilkis,10.47,0.70,58.1,330.150129,180.185749,7.581481,0.12850071,2.43014315
Thekla,9.47,0.66,82.4,253.225526,228.311218,1.627362,0.06467935,3.04138777
Achilles,8.27,0.77,135.5,133.684757,316.53601,10.319799,0.14827799,5.20965488
Croatia,9.14,0.72,88.0,228.479353,177.445387,10.797099,0.04021534,3.13604145
Irmgard,10.70,0.69,51.9,218.506853,334.140281,12.452102,0.20901244,2.67975363
Titania,9.43,0.65,75.3,30.831243,75.936977,16.905238,0.21728843,2.69744741
Scheila,8.99,0.72,113.3,175.555686,70.58236,14.659144,0.16236131,2.92782192
Octavia,9.73,0.74,72.3,292.141885,91.506523,12.230349,0.2511411,2.75945168
Luisa,8.78,0.88,64.9,294.366938,44.139687,16.715303,0.29308016,2.77310199
Nerthus,9.71,0.66,73.3,160.718879,169.543328,16.149651,0.10429861,3.13206958
Marianna,8.52,0.70,124.7,45.876589,331.474724,15.112517,0.25137251,3.08144835
Brangane,10.40,0.77,35.5,58.341608,318.464242,8.599603,0.22134456,2.58684234
Valeria,9.38,0.82,57.0,256.490764,189.3884,13.447438,0.12354937,2.97734605
Ginevra,9.70,0.64,80.0,66.053584,354.519481,7.670577,0.05638634,2.92073861
Roswitha,10.31,0.71,48.2,246.820159,13.394516,2.763053,0.11069699,2.63071871
Elly,10.65,0.88,18.1,109.201256,355.980633,14.958397,0.06017832,2.55324775
Patroclus,8.18,0.70,140.9,308.305809,44.360328,22.06243,0.13988429,5.20886076
Elfriede,8.36,0.70,120.3,229.988463,110.834918,17.052414,0.06918806,3.19209105
Werdandi,11.07,0.65,27.1,36.726001,66.643714,2.297854,0.13623481,3.12399745
Chimaera,10.80,0.71,44.1,124.769575,308.300971,14.123671,0.11130747,2.4618385
Notburga,9.22,0.70,100.7,43.506087,341.591611,25.377113,0.24188351,2.57477883
Charis,9.95,0.68,48.5,178.097489,142.460843,6.474005,0.0586963,2.89915835
Christine,9.32,0.82,49.7,205.185382,112.091895,11.523412,0.04334833,2.58146733
Philippina,8.67,0.87,57.6,279.382098,224.540068,18.899599,0.08423799,2.79242284
Zelima,10.03,0.79,34.4,190.745594,147.26702,10.903483,0.08409937,3.0174094
Vundtia,9.16,0.68,98.2,228.379483,182.858454,11.006864,0.07841714,3.14352214
Latona,8.34,0.84,71.2,70.892566,279.81506,8.555342,0.10803384,3.01590202
Brambilla,9.24,0.75,80.8,29.18108,234.873345,13.369721,0.07872167,3.16076089
Clara,10.02,0.88,33.4,120.897742,5.267419,8.168894,0.12810163,3.1848525
Scheherezade,9.81,0.71,71.6,229.157941,252.16249,13.772793,0.05680782,3.35829144
Cosima,10.81,0.81,19.9,269.005004,109.981714,1.04116,0.15369487,2.60010696
Agrippina,9.89,0.86,28.0,88.740291,359.226376,7.069907,0.1389489,3.2125725
Pippa,9.65,0.68,68.3,180.801132,290.799712,9.874497,0.20250303,3.19464145
Antikleia,10.15,0.85,33.0,353.222006,37.956112,10.764337,0.10197372,3.02614458
Berenike,9.35,0.84,39.2,61.291869,132.758837,11.287602,0.04421177,3.01244133
Zelinda,8.67,0.68,127.4,214.578442,278.333013,18.093752,0.23094017,2.29738944
Asteria,10.54,0.87,22.9,58.646634,350.953956,1.502038,0.06245238,2.85381374
Nestor,8.71,0.72,108.9,344.065724,350.743276,4.522446,0.11669011,5.16818917
Crescentia,9.12,0.85,42.2,106.05718,156.925462,15.200677,0.10727793,2.53324899
Cloelia,9.70,0.81,48.0,183.527021,335.590659,9.247887,0.0381436,3.01475129
Gerlinde,9.21,0.68,100.9,313.442101,232.310719,17.894715,0.14614872,3.07171523
Judith,10.00,0.71,72.7,102.743915,170.898614,8.577151,0.2329967,3.2003415
Kypria,10.11,0.82,31.8,116.542716,170.722982,10.793898,0.0756299,3.01095998
Edda,10.17,0.78,37.5,251.950543,226.398249,2.881052,0.0085068,2.81346236
Rachele,7.48,0.88,97.3,41.455448,58.098278,13.508136,0.19451947,2.92337805
Pax,9.14,0.86,51.5,267.074217,112.089039,24.40487,0.30973074,2.58703289
Genoveva,9.50,0.69,83.9,245.761066,37.951183,17.523192,0.29606524,3.14299051
Gersuind,9.65,0.84,41.1,89.05767,243.016142,15.690884,0.2684054,2.58829813
Zita,12.29,0.71,14.4,188.40282,168.122019,5.742428,0.22962703,2.31531693
Wratislavia,8.08,0.66,135.0,114.508857,253.051399,11.244368,0.17680874,3.1502001
Lehigh,9.37,0.74,87.7,304.336869,87.962717,13.015891,0.12408555,3.00879403
Hippodamia,9.06,0.86,45.9,53.639937,63.458872,26.084595,0.1689447,3.38222822
Zerbinetta,9.57,0.78,67.7,284.224688,351.7142,14.190903,0.03027481,2.94446728
Ekard,9.20,0.72,90.8,111.882688,229.96207,15.895656,0.32329966,2.67109402
Bella,9.12,0.87,48.2,79.808998,275.473855,13.845467,0.16044404,2.53945738
Galilea,9.50,0.73,80.1,333.215182,15.413722,15.123005,0.15388709,2.88292952
Oriola,9.20,0.66,40.2,325.271417,243.546636,7.13138,0.03733117,3.01219335
Alauda,7.41,0.66,194.7,353.721327,289.722955,20.595539,0.01629156,3.19510928
Interamnia,6.29,0.64,316.6,94.546889,280.227158,17.300295,0.15616248,3.05962945
Erminia,8.44,0.70,134.2,102.325714,2.781433,25.017503,0.05108809,2.92403715
Raphaela,10.58,0.88,21.4,198.795529,355.163213,3.48339,0.08475912,2.67388605
Fringilla,9.17,0.72,96.6,19.662207,324.371525,16.263735,0.11330765,2.91384757
Boliviana,8.66,0.73,127.6,181.481265,230.693558,12.755457,0.18511827,2.57612006
Luscinia,9.01,0.66,105.5,138.597798,217.458702,10.342086,0.15516872,3.40081386
Ulula,9.08,0.88,39.2,232.975124,233.691916,14.27267,0.05535715,2.53467883
Berkeley,10.73,0.86,21.3,56.191576,145.884731,8.486572,0.08657041,2.81364
Wisibada,10.96,0.70,31.0,24.509546,343.54462,1.6464,0.26429872,3.13620275
Bohlinia,9.68,0.81,33.7,109.507665,35.677556,2.353725,0.01855549,2.8862081
Tabora,9.42,0.78,76.1,352.711264,38.370589,8.323565,0.11797612,3.55162311
Amanda,11.82,0.74,21.5,323.162331,68.652562,3.790718,0.22232912,2.57280969
Nipponia,9.61,0.78,32.2,274.362409,133.039533,15.058106,0.10389357,2.5668879
Watsonia,9.42,0.78,49.1,87.407947,124.318645,18.048105,0.09674691,2.75991869
Sorga,9.79,0.69,41.8,288.616383,46.093056,10.694352,0.14285636,2.98996974
Mocia,9.26,0.68,88.4,188.824977,340.96896,20.287093,0.05805531,3.39844872
Marghanna,9.84,0.70,74.3,309.930648,42.921026,16.866598,0.32083358,2.730944
Harvard,11.28,0.90,16.7,200.762106,135.898763,4.376862,0.16518963,2.20167486
Arequipa,9.00,0.83,44.1,134.248054,184.615101,12.368201,0.24441982,2.59134388
Alagasta,10.06,0.76,62.8,48.934158,131.969304,3.530048,0.055322,3.03822178
Mandeville,8.72,0.71,107.4,44.876872,136.54312,20.661184,0.14328653,2.73717105
Cantabia,9.22,0.72,90.9,49.996555,115.794847,10.803712,0.10561441,3.063139
Edisona,9.52,0.84,45.6,283.829468,64.142244,11.201427,0.11509084,3.01331446
Aguntina,10.42,0.66,58.7,28.639585,142.641097,7.714665,0.11616648,3.17083087
Marlu,9.86,0.73,69.8,306.995408,1.917716,17.478851,0.23611258,3.11255978
Winchester,7.86,0.71,171.7,277.486238,129.085408,18.21428,0.33963137,3.00114695
Simeisa,9.01,0.69,103.0,177.739103,265.422248,2.257572,0.18930831,3.95210706
Oskar,12.25,0.60,20.6,73.472632,69.546146,3.948165,0.12835727,2.44399333
Faina,8.74,0.68,110.5,302.630873,78.816456,15.59554,0.15111465,2.55178295
Tiflis,10.22,0.94,23.6,202.923125,61.319405,10.08631,0.22100531,2.32934407
Malabar,9.24,0.70,87.6,303.067003,179.915633,24.544006,0.05089932,2.98836891
Quintilla,9.76,0.70,36.0,44.502325,176.665285,3.243595,0.1364757,3.18235569
Portlandia,10.11,0.70,32.1,43.981945,22.431226,8.172127,0.10801198,2.37325809
Mancunia,8.46,0.74,85.5,313.595415,106.123378,5.60429,0.15011418,3.19521909
Massinga,7.96,0.95,71.3,200.343115,331.551318,12.538267,0.23382611,3.1487153
Pulcova,8.26,0.65,137.1,188.70404,305.537298,13.09696,0.1069674,3.15480314
Gedania,9.75,0.72,58.3,158.73085,258.761509,10.00028,0.09267236,3.19282432
Moguntia,9.93,0.81,31.3,70.623031,7.822404,10.090588,0.097112,3.01770547
Bali,10.97,0.88,16.1,17.952638,44.659371,4.384285,0.15084341,2.2210082
Libera,10.30,0.66,29.4,228.610485,217.8567,14.892132,0.24723877,2.65247144
Tanete,8.39,0.67,117.7,145.808206,63.723997,28.836217,0.09465665,2.99811873
Irmintraud,9.16,0.70,95.9,333.161092,322.289969,16.667161,0.07833322,2.85751496
Lumiere,10.34,0.81,33.6,170.823526,297.521177,9.256555,0.06638843,3.01244216
Berbericia,7.76,0.70,151.2,306.524828,79.671578,18.235195,0.16629225,2.93231248
Theobalda,9.78,0.62,64.1,135.045824,321.231317,13.710799,0.25619491,3.18013119
Zwetana,9.51,0.64,48.5,131.583407,71.841202,12.767896,0.20948155,2.5701622
Bredichina,8.98,0.69,91.6,133.767733,89.749638,14.517279,0.15907916,3.17499975
Pretoria,8.12,0.70,170.4,38.108149,251.8021,20.544794,0.15437244,3.40780532
Ani,9.23,0.71,103.5,201.789914,129.80636,16.375536,0.1925178,3.12513526
Arizona,10.06,0.82,28.9,308.365985,35.954351,15.778009,0.12381646,2.79619268
Sarita,9.19,0.70,45.0,329.559605,33.143384,19.048932,0.31992595,2.63566589
Ruth,9.66,0.69,43.2,44.804606,214.241409,9.240603,0.0350282,3.01330844
Helwerthia,11.62,0.73,33.2,336.762606,185.910821,14.143317,0.07626272,2.6057085
Hispania,7.99,0.71,157.2,344.366264,347.575373,15.390741,0.14187009,2.83882931
Hormuthia,9.88,0.70,66.9,131.842702,166.344344,15.730718,0.18607361,3.19401541
Ceraskia,10.69,0.85,26.2,336.562975,132.084334,11.290806,0.06126771,3.02446459
Nauheima,10.77,0.86,23.6,179.222006,130.800769,3.137281,0.07085978,2.89677558
Tauris,8.80,0.68,109.5,296.320701,88.732987,21.793597,0.30537602,3.15836665
Anastasia,10.24,0.85,34.1,141.39654,141.351845,8.130992,0.13682472,2.79330407
Tanina,11.54,0.91,11.2,111.043091,101.399233,3.399641,0.07510504,2.22559586
Lindemannia,10.40,0.67,53.4,296.578536,1.808723,1.124782,0.02743418,3.19137993
Petropolitana,9.22,0.90,41.2,91.206423,340.277329,3.801817,0.06593238,3.21176062
Burnhamia,9.49,0.75,66.7,91.552397,182.663132,3.979771,0.20061679,3.18207682
Seraphina,10.17,0.71,59.8,117.517432,240.018881,10.421049,0.13105278,2.90020573
Lipperta,10.42,0.61,52.4,130.238227,260.654595,0.264567,0.17550474,3.13230074
Agnia,10.17,0.90,28.0,128.73662,270.719127,2.47981,0.09539077,2.7837222
Ara,8.20,0.70,61.8,62.864064,228.272557,19.537405,0.2010441,3.14395529
Zeissia,11.50,0.86,12.3,7.557262,141.165505,2.39379,0.09075406,2.22808224
Nansenia,11.54,0.73,27.0,60.174912,182.826709,9.215561,0.10507354,2.313583
Glasenappia,11.52,0.63,15.0,238.859617,82.891421,5.298997,0.08817448,2.19066209
Ursina,9.97,0.66,29.3,21.845815,309.319496,13.289558,0.10815209,2.79824625
Benkoela,9.16,1.08,27.1,98.124136,116.917687,25.416214,0.02795541,3.19990313
Lova,10.37,0.71,52.5,286.815266,115.761466,5.836511,0.14639262,2.70422065
Holda,10.19,0.73,30.0,19.993471,194.665713,7.38545,0.07881955,2.7351097
Mechthild,11.43,0.68,29.0,109.730323,149.996362,5.276724,0.14863862,2.62780109
Scott,11.00,0.81,25.8,210.912398,150.945588,11.357637,0.11566412,3.01152655
Walkure,10.88,0.64,38.4,275.78388,116.364794,4.254619,0.15918613,2.48741304
Herba,11.37,0.63,36.0,100.811019,262.579622,15.138863,0.32321186,2.99795939
Parysatis,9.44,0.88,44.5,298.035949,123.930137,13.851397,0.19517815,2.70758397
Waltraut,10.56,0.77,27.3,87.400048,160.530219,10.876957,0.0595388,3.02229868
Leopoldina,9.68,0.67,76.1,222.666609,144.921646,17.038026,0.14630099,3.05188091
Lysistrata,10.34,0.83,21.9,23.944352,257.945358,14.326543,0.09380213,2.54198552
Jokaste,10.14,0.68,27.7,127.392216,252.379936,12.469182,0.20216764,2.90698187
Rhoda,9.74,0.71,62.7,88.503911,42.924124,19.532376,0.163619,2.79976668
Ulla,8.79,0.69,116.4,232.048583,146.35683,18.791342,0.09190268,3.54544458
Agamemnon,7.99,0.77,166.7,81.494572,338.008153,21.761849,0.06756695,5.28234497
Palisana,9.13,0.74,76.6,49.116597,255.768244,25.205877,0.2142788,2.45789918
Rogeria,11.27,0.80,23.9,270.297872,192.616345,11.595022,0.10476696,2.62187732
Toni,9.49,0.72,85.5,220.285586,150.18536,8.986288,0.15329117,2.94045581
Alphonsina,8.45,0.84,54.3,201.644997,299.521461,21.09705,0.08099015,2.70042068
Ratisbona,9.28,0.67,67.5,172.886596,7.377377,14.642359,0.09281027,3.21576289
Whittemora,9.30,0.68,45.3,315.437702,110.974717,11.483173,0.23350205,3.16965746
Bethgea,11.80,0.94,27.5,72.53645,243.529218,3.69572,0.21700105,2.23196787
Isberga,12.02,0.93,17.8,6.14049,327.055008,2.58342,0.17668804,2.24701488
Kordula,9.31,0.58,87.2,283.895354,66.285996,6.240822,0.16988684,3.36888404
Begonia,9.80,0.78,69.2,3.899017,113.750373,12.109223,0.21377271,3.11568489
Barcelona,10.03,0.81,25.5,162.480527,318.235043,32.841686,0.16054977,2.6376729
Poesia,10.65,0.66,43.8,37.542303,69.654424,1.43131,0.14341998,3.11526395
Gaspra,11.49,0.87,15.5,129.828887,253.002072,4.105339,0.17339475,2.20985191
Li,10.18,0.62,58.0,150.504311,163.222451,1.172783,0.17408115,3.12729711
Asplinda,10.44,0.83,47.1,92.314581,343.110727,5.627308,0.18373624,3.99233733
Aslog,11.38,0.82,39.5,224.6598,145.441294,2.604741,0.09677937,2.90742367
Iduberga,12.31,0.90,11.5,5.234887,62.417415,7.984864,0.13742508,2.24757309
Muschi,9.94,0.87,23.4,178.043162,72.395054,14.413317,0.1301625,2.71789928
Petunia,10.21,0.87,27.9,297.57777,208.774728,11.60466,0.13418317,2.87027417
Leocadia,12.82,0.62,19.5,91.162481,287.725033,2.29064,0.20571521,2.46242115
Lioba,10.49,0.90,18.4,302.18767,86.638255,5.452553,0.10972202,2.53423585
Perseverantia,10.51,0.85,26.5,58.453584,38.665301,2.555331,0.03394589,2.83373982
Benjamina,9.36,0.74,80.5,321.351361,242.991183,7.722441,0.10888326,3.1940609
Philippa,9.95,0.71,65.7,71.058539,75.721711,15.175555,0.02533169,3.11587761
Aidamina,9.59,0.67,78.7,132.697936,216.521603,21.606444,0.23116037,3.20410996
Anacostia,7.98,0.91,86.2,69.694153,285.790842,15.897595,0.20238408,2.74020874
Martina,10.96,0.62,28.9,297.93678,45.991732,2.062804,0.20179784,3.0966129
Gunila,9.54,0.74,73.9,348.487773,250.664963,14.868229,0.09092536,3.15932018
McDonalda,11.24,0.66,31.4,254.468244,63.194589,2.069806,0.16121727,3.14359722
Hilaritas,11.24,0.69,29.5,146.514814,347.358067,0.658834,0.13955352,3.08736194
Gaussia,9.77,0.70,74.7,145.931765,259.116598,9.314684,0.12229759,3.21104822
Belopolskya,9.84,0.72,71.6,214.985416,153.528343,2.979964,0.08921469,3.39825566
Sarema,12.41,0.66,21.1,25.65067,73.148812,4.029355,0.13607853,2.4792877
Tombecka,10.26,0.74,31.9,99.549715,27.231162,11.90034,0.2091599,2.68231255
Christa,9.24,0.69,96.9,286.754485,120.127165,9.44507,0.08878427,3.206503
