Name,Absolute_magnitude,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
2007FZ11,17.30,232.182184,325.402423,1.637432,0.13755393,2.37230258
2004TN225,16.89,201.054495,51.31106,1.431633,0.15253166,2.60114716
2006CQ41,16.66,58.462934,241.318803,2.489248,0.08577222,2.72510097
2006HR27,15.93,314.123382,133.090803,8.416034,0.17096167,3.07808204
2001UZ150,16.91,3.175303,79.921001,4.289475,0.12193693,2.41827353
2004JX19,17.17,326.587474,281.128556,5.72778,0.21293998,2.33991075
2009WM141,16.07,79.250382,77.15731,15.142789,0.04520898,2.66824306
2000XS50,15.60,73.406842,325.190935,10.143081,0.15452556,2.7056115
2003SQ167,15.68,264.261639,126.785526,6.816423,0.06159975,2.76919794
2004NB33,16.58,358.995653,267.188208,3.317155,0.0224175,2.80385158
2005EX205,15.74,64.604359,170.616216,8.570001,0.14880951,3.06493338
2008ND5,15.15,260.963971,118.674241,19.388258,0.18971387,3.15874495
2008UY60,16.93,327.479071,18.086656,7.002542,0.1351155,2.33233855
Nakama,15.97,177.564389,93.961849,14.075005,0.19658246,2.55477277
2002TT111,16.29,278.264978,60.445316,4.186058,0.2030253,2.7398972
2004RR104,16.35,146.757324,219.142338,6.282721,0.13467278,2.3074259
2006BY225,17.27,148.027608,160.725833,3.812897,0.10586896,2.32745577
2004XH62,16.28,176.390921,274.398283,7.203471,0.19976941,2.79138119
2005GK113,16.42,214.64897,183.077722,4.415088,0.07606034,2.78700067
2005UK112,17.29,334.743535,358.244358,2.226258,0.099931,2.18524829
2006KM62,17.15,42.202189,205.541228,7.952303,0.1267974,2.56252519
2007PB6,16.31,222.062267,118.194067,4.722087,0.04086823,2.5197147
2006HT83,16.93,118.473239,87.277107,6.480977,0.07047499,2.48655652
2006QJ66,16.86,125.303757,150.290741,6.356529,0.21202678,2.69660056
2009SF21,17.94,100.218891,313.482026,6.372063,0.24889927,2.28779936
1995SP23,15.90,310.403233,120.151337,3.701307,0.11791064,3.21670903
2003QZ11,17.41,186.271882,130.436601,3.283658,0.22662649,2.40955909
2003WB155,16.32,102.109103,202.636145,9.887561,0.082177,2.40814771
2006JV17,16.82,6.492969,103.610152,3.289202,0.16782453,2.69059385
2007TB129,17.93,292.34983,25.280048,1.087463,0.17548941,2.4493007
2008CE102,16.52,138.640397,150.876081,11.939912,0.0869736,2.92622347
2008YY131,16.85,93.173107,350.301616,1.945206,0.10515764,2.69345038
2009DO6,16.60,269.637625,316.131002,1.317154,0.04677887,2.7875997
1999BG3,15.45,85.060531,80.82331,26.368129,0.22057456,3.1075562
2001YD95,14.99,300.331983,294.932615,20.162072,0.06392405,3.21579729
2002TR29,16.80,125.310875,203.178747,4.493488,0.25245613,2.60473904
2002TG187,16.51,118.743557,272.946797,3.836412,0.12101736,2.59946135
2003YO10,15.27,89.143329,62.977456,14.11662,0.15918968,3.17067966
2005WY195,16.69,299.772236,91.222228,6.048136,0.12752237,2.72249977
2007VU2,17.06,358.748572,50.434238,7.302786,0.07855874,2.38375109
2008CC158,15.37,200.857837,319.441516,17.059741,0.11474941,3.16157181
2010AE55,15.93,222.742431,334.732106,11.389642,0.12336225,2.84302142
2006UV201,16.35,76.137531,346.420934,14.408281,0.05383456,2.63437787
2006UM204,15.09,83.059815,299.892249,21.068705,0.07959977,3.20452109
2009DY14,17.50,205.433285,19.171136,7.122419,0.13801166,2.36541009
2001FK137,15.45,107.890419,49.17893,16.954161,0.1996778,3.13957646
2003UP271,17.78,49.023266,34.400615,5.870865,0.19353715,2.33149859
2006SP298,16.74,76.464279,200.874085,14.30351,0.09451164,2.61707852
2006VU146,16.05,258.140859,96.469689,6.80421,0.05202859,2.70284695
2000TL3,16.19,204.424082,161.875033,2.311305,0.09878578,2.94027032
2000YX50,15.91,25.961136,126.303135,6.298138,0.18833198,2.92812085
2001TF235,16.33,279.146038,128.543465,8.333263,0.07270389,2.68903931
2001XR122,16.58,238.29222,240.606849,16.089341,0.21571786,2.70860534
2002EP46,17.47,221.425987,296.465168,1.900973,0.08770418,2.27597114
2007UQ50,16.27,160.670239,199.989293,9.851542,0.15749543,2.59119016
2008GW79,16.47,106.830338,119.445801,2.515739,0.07670061,3.0583929
2008RJ45,14.10,93.405153,25.335469,3.822777,0.03243532,5.27435157
2009DT75,17.73,285.73995,341.039537,3.230171,0.23736776,2.39707038
2009HZ69,17.26,288.618497,32.165391,3.939252,0.08753756,2.76808683
2003AQ72,17.05,159.59814,357.104634,21.393832,0.05326747,1.93960467
2004NA23,15.43,7.700735,316.216999,13.92596,0.27076371,2.68972977
2004XC99,15.52,39.604847,92.486465,9.049349,0.13454999,3.14338693
2005TE133,16.39,47.965397,331.44151,13.638383,0.12797754,2.6459038
2007EB223,15.31,15.279532,112.927774,6.260128,0.08366431,3.12566794
